visibility_level,LAT,LONG,Type,Quality,Valid,name_code,NOT_WATER
2,12.265806,74.074637,NGO,3,True,TJGE,False
3,14.374025,90.650249,Charity,5,True,KOMK,False
5,12.074394,93.284042,Charity,2,True,BWRE,False
4,15.006285,89.206654,Trust,1,True,ZECB,False
2,29.658086,84.859878,Charity,2,True,FTGK,True
4,18.822885,79.552705,Charity,4,False,ZBOZ,True
2,31.703634,93.579656,Trust,4,True,IVAQ,True
2,20.640311,87.959825,Charity,3,False,OVZA,False
1,29.51349,80.082574,NGO,3,True,XAAR,True
3,22.264393,84.367114,NGO,3,True,BOMQ,True
3,11.438051,74.113255,Charity,2,True,CLBM,False
2,26.830604,71.006257,NGO,1,True,LXYK,True
2,30.440306,93.733432,Trust,1,False,QNTG,True
1,13.955652,92.112794,Trust,5,True,GVZG,False
5,19.056013,78.18203,Charity,5,True,JRQL,True
1,19.46157,85.647451,Charity,1,True,DEAY,False
3,19.426963,70.554244,NGO,5,True,PYWV,False
2,25.57008,81.155995,Charity,4,False,OMHJ,True
4,31.984319,75.368331,NGO,3,True,AFPB,True
3,12.29858,80.648534,Charity,4,True,NXOL,False
5,27.663857,82.036758,NGO,2,True,FGSV,True
3,32.883424,79.095268,NGO,3,True,MMCP,True
1,28.11957,91.022501,Trust,1,False,EXXC,True
4,22.218177,83.297766,Charity,2,False,HETC,True
3,25.00143,71.157788,NGO,2,True,ICZT,True
5,11.160033,85.691734,NGO,1,True,JVCA,False
4,21.701211,86.581381,NGO,3,True,QEJP,True
1,24.537836,75.062165,Trust,5,True,IYPC,True
5,22.499535,74.613562,Trust,3,True,CQKI,True
4,27.179744,79.934055,NGO,3,True,BEWL,True
3,26.235355,87.814518,Charity,4,True,FWZQ,True
2,33.407897,80.885826,NGO,4,False,IVLT,True
2,17.696498,78.787066,Charity,4,True,ZBMU,True
2,16.71616,88.520266,Charity,5,True,KBVJ,False
5,17.750893,85.090012,NGO,5,True,EJDQ,False
5,13.513051,75.52338,NGO,1,True,GLEH,True
2,28.776901,79.365857,NGO,1,True,CJPV,True
2,14.1275,85.633681,Charity,5,False,TBSU,False
1,28.252319,75.013895,Charity,1,True,FSWW,True
4,10.290294,90.039364,NGO,5,True,QPGV,False
5,11.12037,74.099482,Trust,3,True,XHZX,False
2,11.111457,80.58495,NGO,3,True,AENW,False
5,19.790308,73.493886,Charity,3,True,NFOX,True
2,30.150943,86.100515,NGO,5,True,VXNV,True
2,22.350829,76.935964,Charity,2,True,JHWQ,True
5,30.613456,90.476966,Charity,5,False,FJKR,False
1,18.029049,84.728814,NGO,3,False,POIQ,False
5,31.7657,90.310513,Charity,1,True,GNQV,True
4,12.844047,75.018711,Trust,3,True,SXAU,True
2,21.220092,71.997814,Charity,1,True,GXUN,True
2,13.16586,72.159484,Trust,1,True,STQE,False
5,14.351703,83.270688,Trust,4,True,HWRK,False
2,33.528652,83.256283,Charity,1,False,ZQEL,True
1,15.227997,84.163423,NGO,1,True,PPQN,False
4,27.697244,91.972996,NGO,2,True,WHVX,True
1,29.273811,85.184027,Charity,3,True,KFQH,True
5,30.723645,86.754618,NGO,4,True,YIZV,True
2,25.430464,80.575031,Trust,2,True,KLSG,True
1,27.884086,72.524226,NGO,1,True,FRNE,True
1,26.508456,77.808692,Charity,2,True,ZXKC,True
2,28.610037,79.701234,Charity,5,True,MTCW,True
1,20.492695,77.407554,Charity,3,True,WUBN,True
5,29.082407,75.826478,Trust,1,True,BWGQ,True
4,16.370213,87.547275,Charity,3,True,MWPS,False
2,31.514922,75.893959,Charity,4,True,BKPW,True
1,15.723429,84.87744,Charity,3,True,EJBF,False
1,15.590587,79.500041,Charity,1,True,FVJL,True
3,19.083045,92.20511,NGO,4,True,YIHO,False
3,33.122338,70.054053,Charity,2,False,MRWS,True
1,15.646135,71.680654,Charity,4,True,CJPD,False
3,30.280772,84.07452,Trust,3,False,EYNB,True
4,16.597668,71.642166,NGO,3,False,TQDS,False
3,17.731597,85.529442,NGO,4,False,XKYV,False
3,33.571401,78.716273,Trust,5,True,ETQB,True
1,15.579014,75.592799,Trust,5,True,MRXK,True
3,31.206612,93.317021,NGO,4,True,EROJ,True
1,24.528559,72.995882,NGO,1,True,OERP,True
3,26.622159,87.860456,NGO,4,True,WJAD,True
5,30.795798,88.159567,Charity,5,True,DKDO,True
5,27.390503,74.383684,NGO,3,False,VTXC,True
2,17.834483,81.487371,Trust,2,True,XQML,True
3,28.45904,74.756907,Trust,5,True,BFSF,True
5,21.370695,71.286204,NGO,3,True,VTRO,True
1,33.1785,93.532973,Charity,4,True,YDRW,True
5,13.164129,77.923896,Charity,2,True,IUKK,True
4,18.828258,88.114467,Charity,3,True,PEUD,False
1,23.209718,93.010285,Charity,3,False,GXVO,True
5,15.173313,73.525929,Trust,5,False,MDJI,False
3,26.501655,91.076732,Trust,2,True,YQWP,True
3,10.24155,70.35996,Trust,2,True,WOPR,False
2,32.118365,71.101223,Charity,5,True,YWVV,True
4,18.178615,76.979026,Trust,3,True,VASG,True
2,15.461502,72.65129,Trust,1,True,UYJP,False
2,33.711628,88.410146,Trust,2,True,BYCE,True
3,20.906644,86.914163,Trust,4,False,TGTD,True
4,24.975065,91.962956,NGO,3,False,YVNH,True
1,27.163756,71.380449,Charity,3,False,FRRB,True
1,25.525282,93.071319,Trust,1,True,ZDZC,True
1,14.869614,74.859937,Trust,3,True,BLQE,True
3,30.378482,71.940137,Charity,5,True,YMFT,True
5,13.835274,84.910877,Trust,5,True,WBQQ,False
2,18.400307,76.317096,Charity,1,True,CFZU,True
3,24.525315,70.684091,NGO,1,True,XNOZ,True
3,21.760935,81.74455,Charity,5,True,VYMW,True
3,13.787939,79.486446,NGO,3,True,BDQJ,True
1,17.779299,76.585658,Charity,5,True,QLOP,True
1,29.036843,77.848738,NGO,4,True,TMTF,True
3,28.499868,74.714688,Trust,5,True,XGPL,True
2,20.778458,76.938319,Trust,5,True,YFBR,True
1,15.251509,74.327228,NGO,4,True,VBBT,True
4,11.367703,74.84804,NGO,4,True,MIWJ,False
1,33.208433,70.253718,Charity,1,False,TFIX,True
4,10.289503,72.648231,Charity,5,True,TWGC,False
5,22.573546,85.624027,Charity,3,False,PYJE,True
5,23.655078,86.360274,Charity,5,False,RKZH,True
5,21.550504,76.610623,Trust,1,True,WRBW,True
1,15.114932,72.912501,Trust,4,True,HZEV,False
1,17.202603,71.168073,Charity,2,True,JTNK,False
5,23.71515,78.044788,Trust,1,True,YLAA,True
5,31.824759,88.473776,NGO,1,True,ZPNH,True
4,18.692582,91.404799,Trust,1,True,HLFX,False
5,14.286566,79.932006,NGO,1,True,CNBX,True
5,15.421777,92.147179,Trust,2,False,DNAN,False
1,20.54887,87.710428,Charity,4,True,KXPC,False
3,31.785184,76.793207,Trust,4,True,YJFM,True
2,24.759776,71.924045,Charity,5,True,XRJB,True
4,12.401016,86.901886,Charity,3,True,MWLP,False
1,17.177679,80.087152,Charity,1,True,GSYS,True
4,32.08417,81.745201,Charity,4,False,JYCR,True
3,31.186442,90.807055,Trust,4,True,OEEL,True
3,19.672698,87.61839,Charity,3,True,CBPK,False
2,29.104797,93.447712,NGO,4,True,BICB,True
5,20.447276,73.042201,NGO,4,True,ASBX,True
3,18.879789,75.07711,Trust,4,True,HDHZ,True
4,14.927625,84.741025,NGO,3,True,LHDY,False
2,10.089196,77.160506,NGO,2,True,NHKC,True
5,17.460465,79.557313,Charity,5,True,ITRI,True
3,32.081794,86.268962,Trust,3,True,CQNZ,True
4,24.013529,74.740117,NGO,1,False,TXAH,True
4,15.163815,72.855066,NGO,3,True,CVPG,False
1,15.747348,91.34862,NGO,1,True,CGYJ,False
5,32.476042,81.770501,Charity,4,True,KNIO,True
2,29.343332,87.066827,Trust,3,False,TFPZ,True
2,30.016472,78.455119,Trust,2,True,OHBG,True
5,12.394487,73.60103,NGO,2,True,TQEF,False
2,24.622895,76.498055,NGO,3,False,OQXW,True
5,13.792925,74.396704,Charity,3,True,EPIQ,False
4,22.28194,75.571616,Charity,3,True,CEEQ,True
3,12.996584,80.845541,NGO,5,True,UQBG,False
2,18.490071,86.994283,NGO,1,True,ZBKJ,False
5,23.51944,90.164348,Charity,1,True,NEWN,False
5,30.07877,71.08946,NGO,4,True,IOXI,True
2,20.51381,90.279779,NGO,1,True,FHEJ,False
1,24.499248,74.434746,NGO,2,True,MEZV,True
5,28.389904,82.116948,Trust,3,True,LGRT,True
2,19.949729,87.192103,NGO,5,False,ELNU,False
5,22.099354,83.199583,NGO,3,True,VHUE,True
2,31.960847,81.916327,NGO,4,True,AMEN,True
2,27.59993,89.854462,Charity,4,True,MZKE,True
3,10.65927,90.513542,Trust,3,True,JIQF,False
1,25.505995,70.211478,NGO,3,False,DQHN,True
3,27.946764,91.696578,Trust,1,True,BCUB,True
1,24.588655,77.08429,Charity,4,True,LHKU,True
3,23.675079,93.006744,NGO,2,True,FTQF,True
4,15.379207,86.4302,NGO,1,True,LEPT,False
3,29.327618,74.596719,NGO,5,True,VOMD,True
1,29.852821,82.127947,Trust,2,True,VSYI,True
3,21.330203,71.287139,Charity,2,True,GAEC,True
5,24.163748,85.08606,NGO,4,True,HAVI,True
2,29.283107,72.734192,Charity,2,True,HQHL,True
1,12.478783,84.714451,Charity,2,True,BHIF,False
3,10.892864,91.955649,Charity,1,False,FOFK,False
2,28.311173,91.392827,NGO,3,True,NZLS,True
2,32.990366,77.003797,NGO,5,True,CMCD,True
2,33.364555,85.77528,NGO,3,True,COWN,True
4,29.85093,83.088187,Trust,1,False,TAKX,True
2,25.33801,79.3026,Trust,3,True,VHWB,True
5,22.927689,73.795285,Trust,4,True,ZVIA,True
1,26.41642,73.34103,Charity,2,True,TSIX,True
5,12.892389,86.321984,Trust,1,True,NFAA,False
4,23.89826,73.639968,Charity,4,False,EHLI,True
4,32.789177,75.525989,NGO,3,False,LHZH,True
1,25.659961,93.923086,Trust,2,True,AAUJ,True
5,11.944209,88.067169,Charity,2,True,NYFL,False
1,18.860835,73.896023,Charity,1,True,RIYY,True
5,33.320346,84.19912,Trust,2,True,TLZU,True
2,16.678736,82.514062,Charity,3,True,XRWJ,False
3,30.759514,93.094251,NGO,5,True,QYBZ,True
4,27.412936,71.783446,NGO,5,True,GJUP,True
3,27.572996,82.815577,NGO,3,True,FHNI,True
3,11.81415,77.396607,Charity,5,True,ZNVQ,True
5,28.391098,93.607036,Trust,1,False,HNFB,True
4,24.291193,84.263443,Trust,2,True,HQZQ,True
5,17.953787,77.149803,NGO,3,False,GIAT,True
3,24.650873,83.396848,Trust,2,True,AYRH,True
3,13.832284,92.558923,NGO,2,True,RHCO,False
4,20.831806,78.375179,NGO,4,True,QGNF,True
4,29.77949,72.644276,Charity,3,True,QCZX,True
4,31.78165,86.572426,Trust,3,True,POSU,True
4,14.463528,93.121193,NGO,5,True,RNDB,False
1,24.22958,87.885636,Trust,4,True,LEUE,True
1,31.326132,84.590571,Trust,2,False,LGKD,True
2,33.917797,75.275808,Trust,5,True,TCUO,True
2,18.446781,77.509881,NGO,4,False,SUGL,True
5,27.305889,88.627274,Trust,2,False,ONGE,True
1,29.054399,77.276098,Charity,2,False,QXZN,True
2,11.679408,91.244133,Charity,5,False,XMUJ,False
3,24.613352,87.475384,Charity,4,False,GEJS,True
2,11.424279,85.743346,Trust,2,True,PCAB,False
5,32.981677,83.395672,NGO,4,True,JTUZ,True
2,20.291566,87.549384,NGO,5,True,NMIS,False
2,20.554316,85.536779,Charity,4,True,YOAR,True
4,17.541752,76.853596,Charity,3,False,EJUM,True
4,25.89099,79.481599,Charity,1,True,LPFG,True
2,30.489942,77.41164,Charity,5,True,BNWM,True
1,31.572885,82.540237,NGO,3,True,MIST,True
3,14.17656,93.540411,Charity,5,True,TUVS,False
3,28.79519,89.487064,Trust,4,True,TCSS,True
4,17.509076,82.213901,NGO,1,True,LUJX,True
5,32.484352,81.593931,NGO,2,True,RYNY,True
1,14.595512,86.261683,NGO,4,False,ADAQ,False
2,26.73666,90.612122,Charity,3,True,YXQA,True
1,19.313742,77.495228,NGO,1,True,YFKV,True
5,24.656275,75.992134,NGO,1,True,DGYE,True
5,20.437775,90.663217,Trust,1,True,NOPS,False
2,15.815748,71.616018,Trust,2,True,EZSO,False
1,27.648859,79.129824,NGO,1,True,IEUF,True
2,32.462185,88.919135,Charity,1,False,IQSD,True
4,11.208425,90.20277,Trust,4,False,VJTZ,False
4,14.509254,83.499826,Trust,4,True,OPTR,False
3,11.052198,71.483498,Trust,5,True,VXTB,False
4,28.025951,80.409103,NGO,2,True,FYZA,True
1,30.552796,86.19327,Charity,1,True,GXQP,True
2,28.264366,82.589801,Charity,4,True,OQDY,True
3,19.809558,70.768447,Trust,1,False,FRLZ,False
5,16.072414,79.572178,Trust,2,True,MLLM,True
5,26.292749,85.483174,Trust,4,False,STBA,True
1,15.81236,75.370283,Trust,5,True,FOYD,True
4,32.252089,79.523242,Trust,1,True,SUKD,True
1,30.896368,93.021388,NGO,4,True,KNXZ,True
3,33.580337,84.134164,NGO,1,True,FJNI,True
2,17.910691,90.228179,Charity,2,True,TMAB,False
3,29.726828,89.849796,Charity,1,True,YEJG,True
2,18.625301,70.303162,Charity,5,True,HYEA,False
2,19.576125,91.960609,NGO,2,False,JZLE,False
1,33.562062,91.616192,NGO,5,True,YFXQ,True
4,23.4447,89.91144,Charity,3,True,WUMK,True
4,32.364957,74.783721,Charity,5,True,AOTQ,True
5,21.230459,81.766761,NGO,2,True,MQFB,True
4,22.702094,87.969062,Charity,1,False,WKLK,True
5,25.110543,82.932239,NGO,2,False,RMKM,True
3,10.39854,86.281042,Charity,5,True,XMNZ,False
2,27.469436,72.164778,NGO,2,True,MWMM,True
1,11.323521,93.750831,NGO,2,True,VTSL,False
1,10.002051,73.721721,NGO,5,True,QAIS,False
5,26.364904,77.742329,Trust,2,True,JYFA,True
4,17.404033,75.705101,Charity,1,False,FLII,True
2,32.731234,73.847216,Charity,1,True,LUNQ,True
3,33.536367,81.713017,Trust,3,True,ZYTP,True
1,28.29653,87.884092,NGO,1,True,HVWK,True
3,16.280396,90.348869,Trust,2,True,VZCM,False
2,19.463672,85.032196,Trust,4,True,DSJH,True
3,14.490998,81.444363,Trust,4,False,ABFF,False
3,32.63972,70.236607,Charity,4,False,VDOZ,True
3,11.147908,88.186712,Charity,4,False,IOST,False
1,32.407893,70.771331,Charity,2,True,ZLEE,True
3,23.73404,82.791082,Trust,4,True,CIXU,True
4,20.488375,75.606844,Charity,3,False,RRAM,True
1,21.569578,75.280547,Trust,3,True,PSVQ,True
3,27.711721,78.113769,Trust,2,True,VLEL,True
1,31.500046,71.067234,Charity,2,False,XIEE,True
4,11.708194,81.218209,NGO,2,True,KSGC,False
1,20.269148,73.604599,Charity,3,True,LGWP,True
2,27.194962,73.157232,Charity,5,True,VWTG,True
4,19.986044,88.140674,Charity,5,True,XXIT,False
4,15.111494,80.073833,Trust,4,True,QBML,False
2,31.531124,83.598961,Trust,2,True,MLXC,True
4,24.537071,78.314534,Charity,4,True,LFYY,True
4,17.869046,84.233109,NGO,1,True,NYLB,False
4,27.729647,88.711176,NGO,2,True,EINB,True
2,26.272737,85.069902,NGO,2,True,HWRD,True
1,27.192803,91.036253,Charity,1,True,TKEC,True
3,30.674166,84.705473,NGO,1,True,BVYJ,True
1,24.826425,73.494474,NGO,5,False,UIAI,True
5,27.40946,73.115231,Charity,5,True,ZLOR,True
4,15.457729,70.745727,Charity,3,True,ENCE,False
1,14.38733,81.961091,NGO,2,False,DFKS,False
4,20.973747,93.218526,NGO,1,True,LFDH,True
4,22.310268,81.960431,Trust,3,True,DTJN,True
3,25.025988,76.873053,NGO,5,True,ROLA,True
5,31.249502,92.268583,Trust,2,False,WPUC,True
5,27.310034,81.038439,Charity,3,False,ROYS,True
5,27.265409,92.258675,NGO,5,True,BPOQ,True
1,23.478997,87.637628,Charity,5,True,QQWE,True
5,23.049349,70.100253,Trust,4,True,CFZS,True
1,24.453507,89.306046,Charity,2,True,VCOD,True
3,22.698302,80.248158,NGO,4,True,FSOF,True
3,25.830666,77.840739,Charity,2,True,WLXJ,True
4,23.756059,76.083488,NGO,5,True,LDIL,True
4,25.477019,73.621899,NGO,2,True,NIDC,True
4,22.078144,76.144957,NGO,1,True,ETRL,True
5,12.774724,87.273781,NGO,5,True,UXPC,False
5,20.558218,70.897291,Trust,5,False,ARMM,False
4,24.175569,70.411137,Trust,4,True,NSWJ,True
5,30.717982,78.585114,Charity,4,True,YMGH,True
4,32.22817,80.206773,Charity,5,True,IECK,True
5,10.188987,82.837132,NGO,1,False,LQOU,False
5,31.206484,73.387187,Trust,2,True,TDUD,True
4,21.608732,89.936351,NGO,1,True,VXSY,False
1,17.956289,72.929575,Charity,4,True,OGTL,False
4,24.065643,73.153497,NGO,1,True,NIAE,True
5,17.080232,72.169466,Trust,1,True,EMYX,False
2,17.751024,71.864048,NGO,4,True,OMYZ,False
3,22.793173,90.365452,NGO,2,True,IIXX,True
3,17.216737,89.762796,Trust,2,True,YLRR,False
3,30.367462,88.944665,Trust,1,False,BVLF,True
5,29.916948,81.572887,Trust,1,True,RYKK,True
1,24.573767,82.784932,NGO,2,True,IJHR,True
2,28.362603,71.342703,Trust,4,True,VNVN,True
5,10.668129,77.447077,NGO,2,False,MEER,True
4,21.789543,91.643469,Charity,5,True,QZFO,False
2,24.906098,71.750383,Trust,1,True,YSUB,True
4,26.44887,82.586985,NGO,2,True,NBJP,True
3,26.190844,87.074187,NGO,1,True,GBYX,True
3,21.240151,81.159612,NGO,3,True,LXFH,True
1,30.173684,73.839666,Charity,2,True,OUPU,True
1,13.287289,84.703606,Charity,3,True,FZXF,False
2,20.776092,93.274808,Charity,3,True,VTBR,True
1,27.134689,87.970605,NGO,1,True,QFGE,True
2,32.418298,81.763867,Trust,3,True,HENL,True
2,18.854172,77.004804,Trust,2,True,BKNU,True
1,31.859465,91.883491,Trust,3,True,OMTZ,True
4,16.009348,77.421568,Trust,2,False,YFAW,True
5,32.811294,91.593778,Charity,2,False,AMOB,True
1,19.831971,72.009677,Trust,5,True,CUHN,False
1,19.00471,89.277542,Trust,4,False,HKWA,False
1,11.083182,91.204557,Trust,2,False,ERIE,False
5,16.25373,74.845983,Trust,3,True,HXCV,True
2,19.43162,81.649165,NGO,4,True,FWCI,True
3,33.95878,92.377657,Trust,1,True,VECB,True
1,18.75319,86.53173,NGO,3,True,CUOF,False
3,16.698565,91.88237,NGO,4,True,RYNG,False
4,32.734572,91.413227,Trust,2,True,PUCQ,True
1,11.999669,80.555096,Charity,3,True,POKH,False
1,21.491022,80.28682,Trust,1,True,UHGP,True
4,15.937024,80.142876,Trust,4,True,LNPL,True
1,19.617711,92.778682,NGO,5,True,HPRN,False
5,32.719364,90.282791,Trust,1,True,YJDY,True
4,19.831735,79.218696,Trust,4,True,LMMJ,True
2,25.673612,75.880029,Charity,4,True,YDUN,True
4,10.751197,89.381185,Trust,5,False,GSAS,False
2,20.173904,84.022941,NGO,5,True,GVFV,True
5,22.569002,73.115595,Charity,1,True,TWKO,True
1,32.130629,77.713625,Trust,5,True,UNLD,True
1,22.506579,75.624026,Trust,2,True,WLJJ,True
3,15.278215,86.119576,Trust,1,True,IZVR,False
1,13.874843,75.716131,Trust,3,True,EPYC,True
4,12.745095,83.651197,Trust,2,True,SURU,False
3,22.514028,90.388863,Charity,2,True,GXLX,True
5,11.861289,88.668164,NGO,3,True,IUHZ,False
4,11.614169,76.545697,Charity,3,True,OEDN,True
5,21.728265,84.890498,Trust,1,False,JVNB,True
2,13.196413,93.724983,NGO,1,True,FSQX,False
3,29.195193,83.007492,Trust,1,True,MCQT,True
1,18.836543,82.801412,Charity,3,True,ECPP,True
5,22.223404,71.859053,NGO,2,False,RKEH,True
5,10.323329,81.971016,Trust,5,True,CMFU,False
3,26.279895,89.854217,Trust,3,True,TYCP,True
2,25.435071,74.849093,Trust,1,False,FTQS,True
1,15.04404,74.841049,Charity,5,True,VRBB,True
5,22.041715,73.72131,Trust,1,True,MQHU,True
2,25.130644,90.265239,Trust,5,True,UDTN,True
1,26.635717,71.623073,Charity,1,True,GKXZ,True
2,22.497874,88.403932,NGO,3,True,NZZR,True
1,33.756497,78.613826,Charity,4,True,VQLD,True
3,15.796755,71.304242,Charity,1,True,OCIO,False
3,21.617457,76.015644,Trust,2,True,QVOO,True
3,10.673973,76.876336,NGO,1,False,LKED,True
2,28.60355,73.012347,Trust,4,False,HDAK,True
1,29.028259,92.161643,NGO,5,True,PWOV,True
1,27.624281,71.774895,NGO,5,True,HRUL,True
3,11.475708,77.139182,Charity,5,True,JFHC,True
3,12.315982,93.090748,Trust,4,False,EBUM,False
3,17.120617,80.913441,NGO,2,True,WXHB,True
5,22.313109,73.956689,NGO,1,False,ULZB,True
4,20.443225,85.022983,NGO,3,True,WREP,False
1,21.040786,92.256742,Trust,4,False,CRHA,True
1,11.032241,87.70434,Trust,1,True,IDRP,False
3,14.511032,80.467935,Charity,3,True,WTBN,False
2,11.768903,72.000966,Trust,1,True,XGKZ,False
4,12.342359,92.472269,Charity,2,True,QSKJ,False
5,23.598043,81.35139,NGO,2,False,BILB,True
4,22.185396,81.176196,Charity,1,True,JBNZ,True
5,21.760156,89.531303,Charity,3,True,YFNO,False
3,23.50722,83.657942,NGO,4,True,COXF,True
3,25.421802,91.192408,Trust,5,True,GZSY,True
4,26.352251,79.376935,Trust,5,True,YZCY,True
3,21.647761,71.947405,Trust,2,True,LXLH,True
1,21.225001,71.968679,Charity,3,True,KVAN,True
5,12.791115,81.746641,Charity,4,True,YNSD,False
2,18.117548,79.451665,Charity,1,True,KVAZ,True
5,28.959669,89.510541,Trust,5,False,IBFX,True
4,18.618044,79.826942,NGO,4,False,IWHL,True
1,18.731278,74.600038,NGO,4,False,TJZI,True
4,13.82636,87.046916,Charity,3,True,GIZY,False
4,19.84122,77.054943,Charity,4,False,NLOD,True
1,25.62112,93.186465,Charity,1,True,VQUF,True
1,21.316249,73.172525,Charity,1,True,CXLN,True
1,20.675978,88.595274,Charity,3,True,POYD,False
4,29.768053,92.879609,NGO,3,False,SXUC,True
1,22.821738,84.839263,Charity,2,True,JKGJ,True
5,17.085246,74.372113,Trust,2,True,DYBG,True
1,32.132974,93.73791,Trust,4,True,FWEE,True
2,15.72378,87.18453,Charity,3,True,CXVC,False
2,30.480122,85.510029,NGO,2,True,EOLF,True
5,10.960379,81.572595,Trust,4,True,EZDN,False
1,32.560168,83.20577,Trust,2,True,SQPG,True
4,17.768251,85.701429,Charity,5,True,SSOZ,False
3,16.296602,73.271157,Trust,5,False,MVVC,False
3,29.103032,83.814662,NGO,2,True,LSXC,True
5,30.955488,93.000704,Trust,2,False,GZKU,True
1,16.080012,81.63188,Trust,1,False,TKIJ,False
5,12.565821,85.424991,Charity,4,True,ZMMW,False
4,17.963528,73.568459,Trust,4,True,CARF,True
5,22.27189,77.828715,Charity,2,True,MAGM,True
3,23.763031,74.25191,Trust,5,True,QKRZ,True
1,20.55892,75.246697,NGO,5,True,SRJJ,True
3,30.66786,82.519322,NGO,2,False,CHGG,True
5,32.007398,79.989593,NGO,3,False,GXIS,True
3,18.081196,91.035773,Charity,5,True,PWUR,False
2,32.839046,84.67798,NGO,5,False,HUPT,True
2,22.424674,75.074287,Trust,5,False,YZJM,True
4,10.931994,92.496987,Trust,2,True,FKYZ,False
3,10.727802,90.961341,Charity,3,True,DXGO,False
4,30.79474,84.344847,Charity,1,True,YTDD,True
2,24.649954,77.082775,Trust,5,False,BTMG,True
5,25.156892,75.510067,Charity,2,True,WNPO,True
2,33.590531,92.146258,NGO,1,True,QTYR,True
1,26.338006,93.908773,NGO,5,True,NWDV,True
4,20.726476,90.493434,Charity,4,False,DOEM,False
5,27.059145,79.991385,Charity,3,True,XKOU,False
5,22.819252,70.797046,Trust,1,True,RAVR,True
5,26.847089,84.056179,Trust,5,True,RKIU,True
1,23.583175,91.844073,Charity,1,False,DBJV,True
3,26.893934,82.250537,Charity,2,True,VGMG,True
5,14.249599,74.941659,Charity,3,True,VNFI,True
1,20.406985,86.187531,Charity,1,True,XSWJ,True
1,28.701558,92.131309,NGO,3,True,GMYX,True
1,21.652318,73.412774,Trust,1,True,UNCM,True
2,20.772601,87.606685,Charity,4,True,QJBE,False
1,21.54085,93.992145,Trust,1,True,HEOA,True
2,28.635102,87.038539,NGO,3,True,KCUF,True
1,16.90101,90.016325,NGO,2,True,GVUY,False
5,31.820975,75.853801,NGO,4,True,BSOM,True
2,17.769445,92.824461,Trust,3,True,GIFX,False
3,27.063045,92.539109,NGO,2,True,VDQA,True
5,28.967911,80.134516,NGO,2,True,OKSB,True
4,25.343907,70.420905,NGO,2,True,JUFE,True
2,31.577691,88.697435,Charity,5,True,SZRL,True
5,10.75501,74.209728,Charity,4,True,BTGE,False
3,15.075851,83.626365,NGO,5,True,BELE,False
4,29.323613,87.3775,NGO,5,True,HGKL,True
4,24.058259,71.456068,NGO,4,True,QLAN,True
5,29.429332,81.587323,Trust,5,False,VQCZ,True
3,12.287533,78.010269,Trust,3,True,ZUHQ,True
1,24.926288,89.345739,NGO,2,True,LENU,True
5,16.613014,75.623498,Trust,5,True,GEIE,True
2,22.365257,78.216249,NGO,1,False,XROY,True
3,23.868047,85.566985,NGO,2,True,MERW,True
3,22.536144,70.917308,Trust,1,True,QEDB,True
3,22.539542,87.494427,Charity,2,True,DYVE,True
5,17.213311,89.165792,Trust,4,True,LUAI,False
3,22.403512,71.179963,NGO,3,True,ZUOI,True
1,26.559307,88.454837,NGO,4,True,RVJW,True
3,10.182497,74.775334,Trust,5,False,GVVY,False
3,30.539701,72.657749,NGO,4,True,PZUO,True
